,GM02704,GM02706,GM01650,GM01653,GM02640,GM02641,WG2414,WG2415,WG3465,WG3466,GM00042,GM00031,GM01095,GM01096,GM01375,GM01376,WG1657,WG1658,WG1282,WG1283,WG2843,WG2844,GM00289,GM00290,GM01393,GM01392,GM02316,GM02317,GM02456,GM02555,GM03073,GM03075,GM02147,GM02149,GM00940,GM00941,WG2193,WG2194,WG2120,WG2121,WG1309,WG1310,WG1977,WG1978,WG1513,WG1514,WG1721,WG1722,GM00520,GM00935,GM00016,GM00022,GM00439,WG2275,WG2276,WG1984,WG1983
ILMN_1727205,7.732473563,7.737124281,7.751769917,7.662262268,7.665038987,7.645703234,7.732990351,7.700709375,7.658516771,7.761446673,7.614761896,7.762879681,7.66715034,7.744235046,7.738213382,7.574737411,7.69680802,7.727174817,7.674964034,7.74454724,7.790569104,7.590400448,7.858186467,7.711071081,7.616605495,7.644913399,7.786857833,7.756178979,7.631396791,7.632780842,7.675937227,7.731038139,7.627531039,7.726650647,7.823110402,7.623765692,7.720354086,7.613648148,7.680888036,7.578262943,7.69968208,7.758663695,7.809255434,7.79164026,7.808496307,7.718504279,7.626964002,7.774672272,7.598122669,7.692956443,7.643670683,7.767752029,7.779687373,7.646803876,7.515587924,7.49968539,7.711871304
ILMN_1727220,7.89538829,8.12666028,8.227302363,7.883993047,7.818398022,7.876770267,7.888979256,7.723547835,7.884357945,7.92595239,7.892624591,8.08224651,8.267358475,8.066986711,7.924011474,7.863623787,7.938310111,7.787212364,7.79057185,8.190814497,7.986748383,7.960853866,7.851696484,7.880391897,7.83496376,7.906361749,7.861865674,8.032810463,7.952335951,7.851771041,8.095055409,8.06635526,7.959768886,7.980374247,7.899664678,8.286376989,7.776279999,7.853932633,7.783026672,7.98649007,7.856279065,7.89409889,7.918049293,7.813135901,8.025617791,7.885064874,7.702136031,7.824611697,7.861333835,7.911832792,7.873137839,7.826004676,7.854454593,8.286937562,7.691885727,8.03574899,8.092927389
ILMN_1727300,8.825855985,8.650932817,8.736769538,8.927503638,8.718379774,8.724500909,8.884461248,9.175354787,9.112835364,9.03041194,8.891971137,8.80301827,8.672933347,8.6195833,8.720843744,8.764179602,8.963871021,8.971021934,8.857341364,8.74399347,8.91535066,8.91060389,8.787447651,8.59464477,8.716936175,8.742303198,8.829527024,8.701864093,8.803507781,8.834685662,8.600773976,8.998211361,8.646402922,8.684145239,8.693554295,8.572828472,9.302486836,9.059572275,9.077360243,9.02473317,8.847073267,8.998435848,9.219761157,9.12212546,8.760021121,8.888637466,8.896130804,8.963873241,8.918156421,8.910632627,8.859280148,8.91100209,8.775841893,8.591900653,8.889647355,8.680851742,8.734865738
ILMN_1727309,10.56608721,10.81583737,10.69067986,10.57229094,10.39386086,10.54367197,10.63033973,10.53169926,10.51679372,10.54156525,10.41490603,10.54826326,10.86850331,10.40354574,10.59046892,10.49344158,10.76300118,10.60245664,10.63915953,10.78523469,10.54611211,10.66067815,10.2774863,10.30613014,10.69535255,10.47202059,10.5406404,10.4343995,10.4610403,10.50022778,10.55881494,10.56762275,10.73971682,10.4084366,10.45903496,10.6414663,10.50312546,10.57945086,10.48026561,10.95378704,10.44119772,10.64126034,10.77017432,10.46827439,10.59061013,10.4324516,10.3308223,10.55203348,10.38963919,10.42219847,10.41046005,10.2525187,10.85852607,10.43145155,10.38999214,10.41375773,10.49021239
ILMN_1727332,10.69559043,10.71472668,10.51453801,11.04734246,10.68781322,10.65762196,10.52739117,10.74322333,10.63050599,11.16008707,11.35689096,11.21963887,10.84008196,11.00422246,10.9003398,10.82559315,10.91822256,10.62361849,10.86149801,10.88908299,10.8947762,11.08023177,10.83157408,10.56220469,11.01026075,10.62111115,10.81267595,10.62855516,10.71002246,10.72487594,10.76189584,10.68430636,10.78739265,10.79692854,10.72300522,11.01712662,10.50720491,10.38924437,10.64636024,10.78329301,10.77497226,10.47287403,10.24675186,10.63436665,10.82026286,10.76020408,10.93211404,10.29638283,11.04962457,10.89002938,10.85585559,10.7910601,10.93606282,10.54103606,10.7699758,10.51498028,10.51522647
ILMN_1727426,7.717531273,7.829929403,7.714734867,7.644888198,7.771600837,7.74928008,7.624180584,7.675220747,7.679263912,7.658954741,7.788303778,7.694304834,7.667847773,7.726003129,7.64522766,7.686581464,7.569841648,7.602984146,7.597306599,7.663853112,7.644332844,7.604536218,7.766868004,7.731859566,7.649501071,7.710470642,7.734283707,7.669871266,7.761997726,7.691961514,7.723041989,7.864757093,7.742917843,7.664203774,7.598818853,7.83559656,7.62218549,7.695695838,7.719241324,7.663050408,7.584981141,7.582639379,7.707577702,7.609317412,7.693033217,7.610454851,7.620027274,7.568990449,7.649636793,7.658692974,7.608711569,7.523286144,7.646349125,7.654590433,7.561120423,7.735599561,7.537802197
ILMN_1727438,7.722601695,7.677351601,7.875028319,7.702808605,7.739272472,7.709976257,7.678111659,7.680587353,7.779500807,7.761481193,7.52406814,7.70950087,7.681725314,7.735835892,7.679529269,7.574128315,7.89284128,7.7847264,7.845063563,7.77754504,7.817070688,7.852444625,7.807898506,7.786724064,7.661991943,7.660426656,7.560264115,7.702006639,7.725639369,7.746964496,7.71808592,7.724123444,7.68959973,7.671421367,7.688468609,7.652157821,7.979677123,7.940372863,7.800905593,7.907136572,7.802680781,7.788527544,7.923434568,7.882332833,7.868406583,7.836857832,7.942511821,7.728159647,7.849708821,7.731121037,7.71238719,7.746763865,7.888238544,7.975335175,7.914924479,7.803750242,7.873655501
ILMN_1727458,12.63691739,12.54681668,11.75380586,11.94524654,12.42316773,12.40713601,12.31959083,12.48670237,12.10969544,11.67564236,12.1443462,12.21471202,11.8647695,11.95201859,12.3762761,12.06747337,11.75301834,12.24810996,11.96246799,12.13322716,12.26425537,12.00844119,12.70216108,12.6403867,12.67279113,12.80369493,12.50155069,12.7238302,12.67072106,12.84659781,12.76029957,12.11269109,12.23288477,12.62333344,12.2769627,11.94459811,12.40895174,12.43752426,12.28039925,12.03760862,12.08434933,12.31475821,12.13936328,12.12192347,12.26780519,12.3897928,12.33371143,12.02782532,12.29629355,12.31415161,11.90388779,12.16782639,11.97937593,12.38031531,12.51868938,12.12377872,11.71376292
ILMN_1727459,7.962537315,8.43671702,7.794745335,7.650022385,7.656996282,7.738382994,7.660611468,7.832103532,7.991666192,7.595178232,7.629260793,7.727429976,7.807515533,7.706126769,7.590813229,7.726191811,7.81660027,7.895591368,7.957826038,8.188258123,7.847654662,7.7857601,7.622267855,7.630395117,7.582189716,7.697246503,7.755862109,7.634339073,7.74440921,7.789694217,8.082735308,7.567258104,7.740607908,7.767071139,7.555028664,7.705029899,7.606123144,7.665253468,7.702989971,7.856961876,7.909449054,7.996195873,7.68457862,7.808581546,7.743531897,7.775363603,7.798911168,7.645756689,7.69198469,7.553222025,7.616792336,7.510750024,7.614358864,7.905306258,7.786695308,7.872521045,7.72348438
ILMN_1727479,12.13329121,12.2784235,12.33255581,12.44490829,12.450618,12.39646247,12.39190284,12.39093156,12.30137077,12.21007382,12.75529575,12.51376548,12.71721293,12.92938668,12.56993438,12.52392694,11.84969346,11.95063491,12.00971986,11.63000847,12.22069889,12.27492021,12.57666027,12.73414647,12.4408215,12.12743466,12.30558028,12.42484911,12.21020512,12.27501791,12.07438742,12.3817305,12.10999272,12.43056577,12.8531265,12.76686196,12.09351824,12.21944573,12.043138,12.07835263,12.11627524,12.01553701,12.21393401,12.05661774,12.43780044,12.32979604,11.89419533,12.28842693,12.40671901,12.46766864,12.18314812,12.40305797,12.53368874,12.56070299,12.49783836,12.37655334,12.32356918
ILMN_1727532,12.63968125,11.53624059,10.39000443,11.98472516,12.65028046,12.74447272,12.13262185,12.52608408,12.71336009,13.2729015,12.35891696,12.73011508,10.7024679,12.73397783,11.64465772,12.33713966,12.45411155,12.79014184,12.40712225,12.91672644,11.98701102,12.57024897,11.3836035,12.09135195,11.91530159,11.26948727,11.81129016,11.93539106,11.9268629,12.2571595,12.41111913,12.23822458,12.73617967,11.4647021,11.92249656,10.28757693,12.99844221,13.07845099,13.08940936,12.41425703,11.54747223,11.51342511,12.71282388,12.80708628,10.10329469,12.28071146,12.60741239,11.60640896,12.37801353,11.73285505,12.72191978,12.70981718,10.64900658,11.22016433,11.77650937,12.52705365,11.41516998
ILMN_1727540,8.803157704,9.636825799,8.767789042,8.38223781,8.692162837,8.937060718,8.606299402,8.457773797,8.724201336,8.464809277,8.444576024,8.486463618,8.595932824,8.509815383,8.597015264,8.80145015,8.544833498,8.617821772,8.823520751,9.175693125,8.629077002,8.711361379,8.713118192,8.571933327,8.52499732,8.864357605,8.831988694,8.717090035,8.908521814,8.943191464,9.410910318,8.419886412,8.884125401,8.87953064,8.525660278,8.687133627,8.253668094,8.242715035,8.352305559,8.650882631,8.780612459,8.885277382,7.887732927,8.496989479,8.630417409,8.603051574,8.65044629,8.335105933,8.347149375,8.215495733,8.27326579,8.246347135,8.255794297,8.885452644,8.115824443,8.813628113,8.408953256
ILMN_1727567,7.422952869,7.357957245,7.329445363,7.393133379,7.359944163,7.432158251,7.472836583,7.385018903,7.392300239,7.537619665,7.365832846,7.429118895,7.370324451,7.441709491,7.358403495,7.435572672,7.335590289,7.433750301,7.35244185,7.409834043,7.337021332,7.3818783,7.437806473,7.433963584,7.468736611,7.454747576,7.416019539,7.48400385,7.359442649,7.459738439,7.390419342,7.432860151,7.376630272,7.319662199,7.404888406,7.41431732,7.460830832,7.451433101,7.463050786,7.390894452,7.46464563,7.393251218,7.372578131,7.369029386,7.420895609,7.330090878,7.432900837,7.392449351,7.373137307,7.384299765,7.417750258,7.411733158,7.519074631,7.403261315,7.422682618,7.384263017,7.428603825
ILMN_1727589,7.771273406,7.571155487,7.552320879,7.795697835,7.690430148,7.622297807,7.637231065,7.594827821,7.714306569,7.667042701,7.623634637,7.785441587,7.584315103,7.555289902,7.680631816,7.724923945,7.729638392,7.705741236,7.85389648,7.686348613,7.758634444,7.765732066,7.624428573,7.620558195,7.661694069,7.739052229,7.69187582,7.66577208,7.737517994,7.710122165,7.689957212,7.635039802,7.679066294,7.75303828,7.693895881,7.569987236,7.667789091,7.672202294,7.825812766,7.786441135,7.608064986,7.588125346,7.592592777,7.753117759,7.658846308,7.654969676,7.750306178,7.622758744,7.629077684,7.723736948,7.636058123,7.703434158,7.673203296,7.48780539,7.66088087,7.510424226,7.447814592
ILMN_1727663,7.999213745,7.983613319,7.900302083,7.884748819,7.868834489,7.88234553,8.012348096,7.974732257,7.988838201,7.898038059,7.903225167,7.915597788,7.99971582,7.943075529,7.876916954,8.005843035,7.997904362,7.946899082,8.026271519,7.933057754,8.017094685,7.902256349,7.947875848,7.859129571,7.947690074,7.886678982,7.747278603,7.850109466,7.964550109,7.799004946,7.901240994,7.840964211,7.827060548,7.771631092,7.893696077,8.096829242,7.99468956,7.873313732,7.925528837,7.963008655,7.69496627,7.742189035,7.872420859,7.872930055,7.808720759,7.918446676,7.86314975,7.994619853,7.735537458,7.960871179,7.873663887,8.037188229,7.913597778,7.898154205,8.036318222,7.81411563,7.927709504
ILMN_1727692,9.555930333,8.98230459,9.76891707,9.753303423,9.524258485,9.596670719,9.465509407,9.610316123,9.546022388,9.414763006,9.403005577,9.38996313,9.473923754,9.125797617,9.408936159,8.902493808,9.842620534,9.791547027,9.54068021,9.624073625,9.660672207,9.535308947,9.546075501,9.563713978,9.60308084,9.763325352,9.429389599,9.656645561,9.758451769,9.615913988,9.374766536,9.317556589,9.575927938,9.400932925,9.382699693,9.273479749,9.802582929,9.643240392,9.230563732,9.762619098,9.744784129,9.688705114,9.761970668,9.861399619,9.66134746,9.742329084,9.9129457,9.738929859,9.676217935,9.755714591,9.161037456,9.591148561,9.737673173,9.660360964,9.644063493,9.794150793,9.740534188
ILMN_1727723,7.4603483,7.528969345,7.416297353,7.491317505,7.481053322,7.467476307,7.494012985,7.393242552,7.457862298,7.43775241,7.447669214,7.489850763,7.503298436,7.539116069,7.428517587,7.432333129,7.353033433,7.405960133,7.446935925,7.48071006,7.434949768,7.468743287,7.520465349,7.533110932,7.49007462,7.430645683,7.466838593,7.468771377,7.487727976,7.49249023,7.471184505,7.450806482,7.401444195,7.539243633,7.394763182,7.466437399,7.454806851,7.41562312,7.41222595,7.480487345,7.438354199,7.454564589,7.440307984,7.4482245,7.450806537,7.422577256,7.425934469,7.450928865,7.456967059,7.459924906,7.439850381,7.487581704,7.486904979,7.505482463,7.550612131,7.553779806,7.464819338
